state,birth_rate_per_1000
Johor,13.672574990261005
Kedah,15.443749143561869
Kelantan,19.198300892569094
Kuala Lumpur,10.69053198384604
Labuan,14.232323232323232
Melaka,13.209180200330644
Negeri Sembilan,13.527634908972162
Pahang,14.704235637779941
Perak,12.104124035888557
Perlis,13.230979187990446
Pulau Pinang,11.04535710256121
Putrajaya,14.419191919191919
Sabah,12.904050935579837
Sarawak,13.555528913399673
Selangor,12.557387963438147
Terengganu,21.592561983471075
